name	time	frame	height	yaw	pitch	roll	length	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	sensor	surface_event	printID
20240722006A	2024-07-22 07:45:00.300000	23535	108	81.5	-73.2	0	NA	-20.9615734848582	55.1642299050305	309137.340053397	7681011.01307076	40	K	1214.78	441.48	NA	NA	NA	NA	NA	Jul-22nd-2024-11-31AM-Flight-Airdata	RGB	1	1
20240722006A	2024-07-22 07:45:05.100000	23679	108.2	81.5	-85.3	0	NA	-20.9612344325727	55.1640324421255	309116.374364911	7681048.31570993	40	K	1183.04	470.33	NA	NA	NA	NA	NA	Jul-22nd-2024-11-31AM-Flight-Airdata	RGB	1	2
20240722006A	2024-07-22 07:45:14.700000	23965	108.2	45.9	-90	0	NA	-20.960874923071	55.1638527415545	309097.229823523	7681087.90442969	40	K	1301.35	627.59	NA	NA	NA	NA	NA	Jul-22nd-2024-11-31AM-Flight-Airdata	RGB	1	3
20240722007A	2024-07-22 07:44:59.500000	23510	107.9	81.5	-73.2	0	NA	-20.9617131996077	55.1642967403334	309144.467973116	7680995.6242739	40	K	1307.12	379.44	NA	NA	NA	NA	NA	Jul-22nd-2024-11-31AM-Flight-Airdata	RGB	1	1
20240722007A	2024-07-22 07:45:04.300000	23657	108.1	81.5	-85.3	0	NA	-20.9613196583086	55.1640668592576	309120.061795289	7681038.92100185	40	K	1276.82	442.92	NA	NA	NA	NA	NA	Jul-22nd-2024-11-31AM-Flight-Airdata	RGB	1	2
20240722007A	2024-07-22 07:45:14.900000	23972	108.2	45.9	-90	0	NA	-20.9609329396584	55.1638664708137	309098.731272392	7681081.49750776	40	K	1389.35	669.43	NA	NA	NA	NA	NA	Jul-22nd-2024-11-31AM-Flight-Airdata	RGB	1	3
20240725001A	2024-07-25 11:39:12.500000	5340	91.4	110.1	-60.4	0	NA	-21.2916542622225	55.3594592621317	329816.718311741	7644688.76267956	40	K	1408.11	522.27	NA	NA	NA	NA	NA	Jul-25th-2024-03-34PM-Flight-Airdata	RGB	1	1
20240725001A	2024-07-25 11:39:15.100000	5420	91.4	110.2	-60.4	0	NA	-21.2916709402658	55.3594815754389	329819.052678432	7644686.94032756	40	K	1410.99	496.3	NA	NA	NA	NA	NA	Jul-25th-2024-03-34PM-Flight-Airdata	RGB	1	2
20240725001A	2024-07-25 11:39:21.100000	5601	91.6	110.2	-58.7	0	NA	-21.2916763140969	55.3595188687918	329822.928315505	7644686.3856307	40	K	1392.24	496.3	NA	NA	NA	NA	NA	Jul-25th-2024-03-34PM-Flight-Airdata	RGB	1	3
20240726001A	2024-07-26 04:57:26.100000	16469	90.1	197.6	-89.9	0	NA	-21.0607339942671	55.1963807920472	312604.814460616	7670070.56659311	40	K	1211.9	598.73	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	1
20240726001A	2024-07-26 04:57:37.900000	16825	90.1	197.6	-89.9	0	NA	-21.0607814627605	55.1964615877047	312613.270630578	7670065.40615851	40	K	1139.76	656.44	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	2
20240726001A	2024-07-26 04:57:53.100000	17281	90.1	171.1	-89.9	0	NA	-21.0609622028907	55.1965919700852	312627.047050581	7670045.54892877	40	K	1004.14	624.7	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	3
20240726001A	2024-07-26 04:58:08.300000	17735	90	153	-89.9	0	NA	-21.0610557551237	55.1967033036954	312638.734582511	7670035.32225448	40	K	1025.78	451.58	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	4
20240726001A	2024-07-26 04:58:29.100000	18361	89.9	153	-90	0	NA	-21.0610476653797	55.1968590040238	312654.905594227	7670036.40097482	40	K	1009.91	572.77	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	5
20240726001A	2024-07-26 04:58:51.100000	19019	89.9	153	-90	0	NA	-21.0610479414847	55.1970104218915	312670.642029902	7670036.54842415	40	K	1102.25	574.21	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	6
20240726001J	2024-07-26 04:50:31.500000	4046	89.8	236.4	-62.9	0	NA	-21.0569548347472	55.1963095257392	312592.673598729	7670488.8904334	40	K	1278.26	517.94	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	1
20240726001J	2024-07-26 04:50:36.700000	4203	89.9	236.4	-66.1	0	NA	-21.0570330404729	55.1963090131424	312592.718292936	7670480.23132668	40	K	1246.52	473.22	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	2
20240726001J	2024-07-26 04:50:41.900000	4357	89.7	225	-66.1	0	NA	-21.0571701882592	55.1962505015146	312586.809121256	7670464.97827931	40	K	1312.89	463.12	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	3
20240726001J	2024-07-26 04:50:47.100000	4515	89.2	211.1	-66.1	0	NA	-21.0573742044557	55.1962840869374	312590.555150312	7670442.43023151	40	K	1373.48	539.58	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	4
20240726001J	2024-07-26 04:50:55.100000	4754	89.9	210.7	-70.7	0	NA	-21.0574336558007	55.1962790809594	312590.109368049	7670435.84222143	40	K	1367.71	442.92	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	5
20240726001J	2024-07-26 04:51:00.100000	4903	90.1	210.7	-70.7	0	NA	-21.0575178622855	55.196321096357	312594.581407598	7670426.56875323	40	K	1366.27	512.17	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	6
20240726001J	2024-07-26 04:51:06.300000	5089	90	210.7	-85.7	0	NA	-21.0576251618963	55.1964225544637	312605.260092644	7670414.80843832	40	K	1341.74	378	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	1	7
20240726001J	2024-07-26 04:55:19.500000	12680	90	197.6	-89.9	0	NA	-21.0596585909918	55.1962795147356	312592.941837999	7670189.51021027	40	K	1454.52	621.29	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	2	1
20240726001J	2024-07-26 04:55:29.500000	12979	90.1	197.6	-89.9	0	NA	-21.0597255214499	55.196256026978	312590.584706922	7670182.07241636	40	K	1495.16	587.9	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	2	2
20240726001J	2024-07-26 04:55:37.500000	13214	90	197.6	-90	0	NA	-21.0598196376613	55.1962611079349	312591.230665917	7670171.65836393	40	K	1508.23	566.13	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	2	3
20240726001J	2024-07-26 04:55:44.300000	13418	90	197.6	-89.9	0	NA	-21.0598855588664	55.1963448770093	312600.019021833	7670164.45844687	40	K	1512.58	737.42	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	2	4
20240726001J	2024-07-26 04:57:23.100000	16382	90.1	197.6	-90	0	NA	-21.0607579813133	55.1963409814947	312600.707195288	7670067.86406084	40	K	1254.19	550.16	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	1
20240726001J	2024-07-26 04:57:31.700000	16640	90.1	197.6	-89.9	0	NA	-21.0607971595625	55.1963879770984	312605.640304636	7670063.58172931	40	K	1190.32	544.35	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	2
20240726001J	2024-07-26 04:57:38.300000	16836	90.1	197.6	-90	0	NA	-21.060819765138	55.196425933042	312609.613201294	7670061.12360103	40	K	1174.03	595.04	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	3
20240726001J	2024-07-26 04:57:49.700000	17178	90.1	171.1	-89.9	0	NA	-21.0610092620598	55.1965075224579	312618.329785804	7670040.23949309	40	K	1089.93	507.05	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	4
20240726001J	2024-07-26 04:58:02.300000	17558	89.9	153	-89.9	0	NA	-21.0611209157502	55.1966560492298	312633.905290968	7670028.05246564	40	K	1011.11	440.85	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	5
20240726001J	2024-07-26 04:58:17.700000	18015	89.9	153	-89.9	0	NA	-21.0610910872286	55.1967309189399	312641.648752581	7670031.44294936	40	K	1087.63	479.95	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	6
20240726001J	2024-07-26 04:58:38.100000	18627	89.9	153	-89.9	0	NA	-21.0610897742441	55.1968754354391	312656.665970182	7670031.75823282	40	K	1089.36	570	NA	NA	NA	NA	NA	Jul-26th-2024-08-45AM-Flight-Airdata	RGB	3	7
20240726002J	2024-07-26 06:15:07	23886	90.3	148.5	-89.9	0	NA	-21.0873376001295	55.2037373537025	313402.559408504	7667133.80042633	40	K	1366.27	393.87	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	1
20240726002J	2024-07-26 06:15:13.600000	24084	90.3	148.5	-90	0	NA	-21.0873568379584	55.2037723375389	313406.21848283	7667131.71153573	40	K	1351.84	431.38	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	2
20240726002J	2024-07-26 06:15:21.400000	24319	90.2	148.5	-90	0	NA	-21.0873821958279	55.2038211241359	313411.319395066	7667128.96124934	40	K	1322.99	442.92	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	3
20240726002J	2024-07-26 06:15:28.200000	24523	90.2	148.5	-89.9	0	NA	-21.0874236666627	55.2038581060879	313415.213856465	7667124.41318407	40	K	1310	393.87	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	4
20240726002J	2024-07-26 06:15:36	24756	90.1	148.5	-89.9	0	NA	-21.0874398980217	55.2039233322277	313422.011535958	7667122.69260413	40	K	1253.74	440.03	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	5
20240726004A	2024-07-26 06:15:05.600000	23845	90.3	148.5	-89.9	0	NA	-21.0873226558569	55.2037467159964	313403.513541239	7667135.46595008	40	K	1343.19	405.41	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	1
20240726004A	2024-07-26 06:15:14.400000	24110	90.2	148.5	-90	0	NA	-21.0873338421395	55.2037921937074	313408.252937744	7667134.28078483	40	K	1311.45	444.36	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	2
20240726004A	2024-07-26 06:15:25.200000	24432	90.2	148.5	-89.9	0	NA	-21.0873663420566	55.2038666173605	313416.026623803	7667130.76982532	40	K	1253.74	434.26	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	3
20240726004A	2024-07-26 06:15:33.800000	24687	90.1	148.5	-89.9	0	NA	-21.087378448353	55.2039328884391	313422.927728806	7667129.50717394	40	K	1194.58	506.4	NA	NA	NA	NA	NA	Jul-26th-2024-10-01AM-Flight-Airdata	RGB	1	4
20240726005A	2024-07-26 06:52:32.800000	16568	90	29.3	-84.3	0	NA	-21.0685451465819	55.1957561213158	312549.686774742	7669205.02350351	40	K	1504.15	582.53	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	1	1
20240726005A	2024-07-26 06:53:10.400000	17696	90.3	34.3	-84.3	0	NA	-21.0684331042431	55.1960896034151	312584.201705934	7669217.82062613	40	K	1469.37	578.19	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	1	2
20240726005A	2024-07-26 06:58:11.800000	26729	93.7	144.4	-90	0	NA	-21.067933132358	55.1949049615412	312460.466792783	7669271.78057341	40	K	1440.39	717.3	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	2	1
20240726005A	2024-07-26 06:58:21	27004	93.9	144.4	-89.9	0	NA	-21.067960770045	55.1947506328208	312444.463586767	7669268.53897557	40	K	1494.67	603.06	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	2	2
20240726005A	2024-07-26 06:58:31.200000	27308	93.6	144.4	-89.9	0	NA	-21.067940742135	55.1946948308903	312438.639515017	7669270.69065562	40	K	1471.59	663.66	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	2	3
20240726005A	2024-07-26 06:58:35.800000	27447	93.7	144.4	-90	0	NA	-21.0679201282401	55.1946693486832	312435.965539331	7669272.94291161	40	K	1481.69	699.73	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	2	4
20240726005A	2024-07-26 06:58:50.800000	27895	93.2	210.1	-68.5	0	NA	-21.0675113133019	55.1944977906183	312417.624302431	7669318.00270459	40	K	1497.56	854.1	NA	NA	NA	NA	NA	Jul-26th-2024-10-38AM-Flight-Airdata	RGB	2	5
20240726006A	2024-07-26 07:22:33.800000	10991	89.7	127.3	-90	0	NA	-21.0619251714754	55.1934772349598	312304.556451114	7669935.268449	40	K	1442.73	616.05	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	1
20240726006A	2024-07-26 07:22:40	11180	89.7	127.3	-90	0	NA	-21.0619711047655	55.1935335887953	312310.470634491	7669930.24934377	40	K	1444.18	523.71	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	2
20240726006A	2024-07-26 07:22:52.400000	11551	89.7	158.3	-90	0	NA	-21.061922608822	55.1934584747824	312302.603593841	7669935.53007317	40	K	1289.8	399.64	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	3
20240726006A	2024-07-26 07:23:22.800000	12464	89.5	136.2	-89.9	0	NA	-21.0625306736906	55.1936869651229	312327.112332991	7669868.47753637	40	K	1302.79	191.88	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	3	1
20240726006A	2024-07-26 07:23:36.800000	12883	89.4	142.2	-89.9	0	NA	-21.0627633130457	55.1937239928929	312331.252325366	7669842.76456834	40	K	1327.32	216.41	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	3	2
20240726006A	2024-07-26 07:23:49.800000	13272	89.4	142	-90	0	NA	-21.0629921228511	55.1937043518068	312329.498266002	7669817.40883915	40	K	1366.27	330.39	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	3	3
20240726007A	2024-07-26 07:23:11.600000	12126	89.5	133	-89.9	0	NA	-21.0622869558879	55.193506394605	312308.040864509	7669895.24796764	40	K	1389.35	356.36	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	2	1
20240726007A	2024-07-26 07:23:34.200000	12802	89.4	133.2	-90	0	NA	-21.0626569017891	55.1935112183217	312309.006427095	7669854.29522172	40	K	1478.8	564.11	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	2	2
20240726007A	2024-07-26 07:23:43.200000	13072	89.4	142.2	-89.9	0	NA	-21.0627332883734	55.1935060698902	312308.567243952	7669845.83204336	40	K	1490.34	513.61	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	3	1
20240726007A	2024-07-26 07:23:54.200000	13403	89.3	142	-90	0	NA	-21.0629716235374	55.1934153544054	312299.43885585	7669819.33798421	40	K	1546.61	861.31	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	3	2
20240726008A	2024-07-26 07:23:01.600000	11829	89.7	158.3	-90	0	NA	-21.0620249431811	55.1932426578192	312280.303371608	7669923.94591634	40	K	1499	597.29	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	1
20240726008A	2024-07-26 07:23:17.800000	12314	89.6	133	-89.9	0	NA	-21.0623110369261	55.1934088533291	312297.93418664	7669892.46694028	40	K	1468.7	494.86	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	2
20240726008A	2024-07-26 07:23:31	12707	89.4	123.1	-89.9	0	NA	-21.0625771689679	55.1934457104021	312302.098520847	7669863.04564422	40	K	1477.36	676.64	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	3
20240726008A	2024-07-26 07:23:42	13039	89.4	142.2	-90	0	NA	-21.062661863318	55.1933835212885	312295.741873949	7669853.59547748	40	K	1561.04	682.41	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	4
20240726008A	2024-07-26 07:24:14.200000	14001	88.6	102.6	-90	0	NA	-21.0632638316195	55.1936320974928	312322.330296632	7669787.24159139	40	K	1546.61	768.98	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	5
20240726009A	2024-07-26 07:30:17.200000	24880	89.7	197.5	-47.1	0	NA	-21.0648159080898	55.1913997291418	312092.284802589	7669612.77261722	40	K	1432.63	457.35	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	1
20240726009A	2024-07-26 07:30:36.600000	25464	89.7	204.3	-90	0	NA	-21.0645590495196	55.1910740083033	312058.112253672	7669640.82644761	40	K	1555.27	637.69	NA	NA	NA	NA	NA	Jul-26th-2024-11-16AM-Flight-Airdata	RGB	1	2
20240729001A	2024-07-29 11:59:10.600000	4274	90.2	316	-89.9	0	NA	-21.0099328513374	55.2098555769168	313942.082680716	7675710.73052637	40	K	1532.9	504.96	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	1
20240729001A	2024-07-29 11:59:30.800000	4880	90.2	316	-90	0	NA	-21.0095445721734	55.2098576081005	313941.812145603	7675753.72055343	40	K	1453.55	343.85	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	2
20240729001A	2024-07-29 11:59:48.400000	5408	90.1	323.9	-89.9	0	NA	-21.0091539988853	55.2098774393826	313943.389279925	7675796.98530376	40	K	1516.07	192.36	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	3
20240729001A	2024-07-29 12:00:06	5934	90.1	323.9	-90	0	NA	-21.0087389016513	55.2099325127865	313948.599807461	7675843.00622896	40	K	1421.09	301.77	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	4
20240729001A	2024-07-29 12:00:22.400000	6427	90.1	323.9	-89.9	0	NA	-21.0083300547707	55.2099118422899	313945.943718212	7675888.24692479	40	K	1481.21	245.26	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	5
20240729001A	2024-07-29 12:00:43.800000	7067	90.1	27.1	-90	0	NA	-21.0082130617359	55.2099878455781	313953.699975048	7675901.28813347	40	K	1165.01	333.03	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	6
20240729001A	2024-07-29 12:00:57	7461	90.1	27.1	-89.9	0	NA	-21.0079060221869	55.2100444379109	313959.202532227	7675935.3473971	40	K	1255.18	378.72	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	7
20240729001J	2024-07-29 11:58:57.200000	3875	90.3	316	-89.9	0	NA	-21.0103625013561	55.2098028390721	313937.133107767	7675663.10112236	40	K	1398.65	391.74	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	1
20240729001J	2024-07-29 11:59:04.600000	4096	90.2	316	-90	0	NA	-21.0101468575421	55.2098562816226	313942.421440465	7675687.03801708	40	K	1459.52	554.51	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	2
20240729001J	2024-07-29 11:59:09.600000	4241	90.2	316	-89.9	0	NA	-21.0099916306039	55.2098330638561	313939.815148421	7675704.19665426	40	K	1487.19	541.63	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	3
20240729001J	2024-07-29 11:59:39.600000	5144	90.1	321.9	-90	0	NA	-21.0093797249459	55.2098551074159	313941.34766788	7675771.96841754	40	K	1488.16	278.31	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	4
20240729001J	2024-07-29 11:59:48.200000	5402	90.1	323.9	-90	0	NA	-21.009212889524	55.2098852794113	313944.277389028	7675790.47446097	40	K	1486.61	267.87	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	5
20240729001J	2024-07-29 12:00:06	5932	90.1	323.9	-90	0	NA	-21.0087940550895	55.2099565769964	313951.169956013	7675836.9280421	40	K	1401.96	380.35	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	6
20240729001J	2024-07-29 12:00:21.600000	6399	90.1	323.9	-89.9	0	NA	-21.0084028804373	55.2099346967898	313948.410032292	7675880.21077885	40	K	1458.78	322.37	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	7
20240729001J	2024-07-29 12:00:38.800000	6919	90	27.1	-90	0	NA	-21.0083464018153	55.2099720833236	313952.226713428	7675886.50725907	40	K	1230.92	364.7	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	8
20240729001J	2024-07-29 12:00:42.800000	7035	90.1	27.1	-89.9	0	NA	-21.0082868665654	55.2099877836522	313953.785086108	7675893.1168881	40	K	1232.08	404.12	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	1	9
20240729001J	2024-07-29 12:02:40.200000	10556	89.9	335.5	-61.4	0	NA	-21.0052874614151	55.2099654334391	313947.741216242	7676225.16472714	40	K	1225.66	292.22	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	2	1
20240729001J	2024-07-29 12:02:57.400000	11072	89.8	335.4	-82.3	0	NA	-21.0049772154593	55.2103220629209	313984.432813222	7676259.92835916	40	K	1441.06	358.18	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	2	2
20240729001J	2024-07-29 12:03:25.600000	11916	89.7	337.1	-50.8	0	NA	-21.0044804931305	55.2101972292311	313970.83871696	7676314.77672013	40	K	1402.66	463.38	NA	NA	NA	NA	NA	Jul-29th-2024-03-56PM-Flight-Airdata	RGB	2	3
20240729002A	2024-07-26 05:35:16.500000	18028	90.6	223.1	-67.9	0	NA	-21.0712468754564	55.2013712036722	313136.580969286	7668912.50073377	40	K	1315.77	696.84	NA	NA	NA	NA	NA	Jul-26th-2024-09-21AM-Flight-Airdata	RGB	1	1
20240729002A	2024-07-26 05:35:35.100000	18583	90.8	223.1	-89.9	0	NA	-21.0711674407694	55.2014536337937	313145.047625827	7668921.39200432	40	K	1311.45	903.15	NA	NA	NA	NA	NA	Jul-26th-2024-09-21AM-Flight-Airdata	RGB	1	2
20240729003A	2024-07-26 05:34:58.500000	17487	90.7	241.7	-43.7	0	NA	-21.0708312284911	55.2011106619562	313108.986470094	7668958.21313717	40	K	1432.63	272.68	NA	NA	NA	NA	NA	Jul-26th-2024-09-21AM-Flight-Airdata	RGB	1	1
20240729003A	2024-07-26 05:35:07.500000	17757	90.7	233.8	-56.3	0	NA	-21.0710394278266	55.2012518062164	313123.91414738	7668935.32808562	40	K	1477.36	530.93	NA	NA	NA	NA	NA	Jul-26th-2024-09-21AM-Flight-Airdata	RGB	1	2
20240729008A	2024-07-29 12:32:35.600000	885	91.1	69.7	-40.2	0	NA	-21.0067133653193	55.224630477408	315474.114220359	7676084.30881738	40	K	1470.15	709.83	NA	NA	NA	NA	NA	Jul-29th-2024-04-31PM-Flight-Airdata	RGB	1	1
20240729008A	2024-07-29 12:32:54.400000	1449	90.7	63.5	-61.3	0	NA	-21.0069033791846	55.2247298086086	315484.674578079	7676063.38663234	40	K	1654.82	629.03	NA	NA	NA	NA	NA	Jul-29th-2024-04-31PM-Flight-Airdata	RGB	1	2
